Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Simon G.,Duckworth J.,125,21,430,1730,4.5,1.18,6-2 6-2
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Kokkinakis T.,Kokkinakis T.,25,149,1365,341,1.44,2.62,4-6 3-6
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Golubev A.,Chardy J.,31,72,1195,691,1.28,3.5,6-4 6-4
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Tomic B.,Tomic B.,35,53,1090,797,2.25,1.57,5-7 6-7
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Copil M.,Kukushkin M.,69,201,705,242,1.53,2.37,6-4 4-6 6-4
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Anderson K.,Kubot L.,Kubot L.,16,177,2080,282,1.28,3.5,6-7 4-6
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Matosevic M.,Johnson S.,37,77,999,657,2.0,1.72,2-6 7-6 7-5
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Nieminen J.,Nieminen J.,123,73,440,689,2.1,1.66,6-4 1-6 4-6
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Klizan M.,Melzer J.,Klizan M.,34,110,1094,505,1.66,2.1,6-7 7-6 6-1
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Williams R.,Millman J.,Millman J.,220,153,221,328,2.75,1.4,3-6 1-6
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Berlocq C.,Dolgopolov O.,23,71,1455,700,1.25,3.75,6-2 6-3
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Groth S.,Groth S.,84,85,595,586,1.4,2.75,3-6 2-6
Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Klizan M.,Dolgopolov O.,Klizan M.,34,23,1094,1455,2.75,1.4,1-6 7-6 7-6
Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Johnson S.,Nishikori K.,Nishikori K.,37,5,999,5025,6.5,1.11,4-6 5-7
Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Chardy J.,Dimitrov G.,11,31,3645,1195,1.3,3.4,3-6 6-4 7-6
Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Kokkinakis T.,Tomic B.,Tomic B.,149,53,341,797,3.0,1.36,6-7 1-6
Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Kukushkin M.,Raonic M.,8,69,4440,705,1.22,4.0,6-3 6-4
Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Kubot L.,Groth S.,Groth S.,177,85,282,586,2.1,1.66,4-6 7-6 6-7
Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Duckworth J.,Nieminen J.,Duckworth J.,125,73,430,689,2.25,1.57,4-6 7-6 6-3
Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Millman J.,Federer R.,Federer R.,153,2,328,9625,10.0,1.06,6-4 4-6 3-6
Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Raonic M.,Groth S.,Raonic M.,8,85,4440,586,1.16,5.0,7-6 3-6 7-6
Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Klizan M.,Dimitrov G.,Dimitrov G.,34,11,1094,3645,3.5,1.28,3-6 4-6
Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Tomic B.,Nishikori K.,5,53,5025,797,1.33,3.25,6-0 6-4
Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Duckworth J.,Federer R.,Federer R.,125,2,430,9625,11.0,1.05,0-6 1-6
Brisbane International,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3,Raonic M.,Nishikori K.,Raonic M.,8,5,4440,5025,2.75,1.44,6-7 7-6 7-6
Brisbane International,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Federer R.,Federer R.,11,2,3645,9625,3.75,1.28,2-6 2-6
Brisbane International,2015-01-11,ATP250,Outdoor,Hard,The Final,3,Federer R.,Raonic M.,Federer R.,2,8,9625,4440,1.25,4.0,6-4 6-7 6-4
Chennai Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Muller G.,Muller G.,116,46,470,855,2.1,1.66,7-6 1-6 6-7
Chennai Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Coric B.,Haase R.,Coric B.,95,80,557,620,1.72,2.0,6-2 6-2
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Sijsling I.,Ymer E.,Ymer E.,81,227,619,210,1.33,3.25,4-6 6-4 3-6
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Berankis R.,Vanni L.,Berankis R.,83,148,605,353,1.33,3.25,6-1 2-6 7-5
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Prashanth V.,Vesely J.,Vesely J.,557,65,56,741,5.5,1.14,2-6 1-6
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Lacko L.,Bedene A.,156,88,325,576,1.83,1.83,7-6 6-3
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Ramanathan R.,Ito T.,Ito T.,285,87,172,576,3.0,1.36,3-6 3-6
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Donskoy E.,Garcia-Lopez G.,36,129,1020,421,1.9,1.8,6-7 6-2 6-3
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Gonzalez A.,Carreno-Busta P.,Carreno-Busta P.,109,49,507,841,2.5,1.5,1-6 3-6
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Devvarman S.,Lu Y.H.,38,136,993,381,1.33,3.25,6-3 6-4
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Gojowczyk P.,Gojowczyk P.,113,102,496,539,2.5,1.5,0-6 1-6
Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Goffin D.,Berankis R.,Goffin D.,22,83,1599,605,1.25,3.75,6-0 4-6 7-6
Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Ymer E.,Muller G.,Muller G.,227,46,210,855,4.33,1.2,4-6 3-6
Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Haider-Maurer A.,Vesely J.,Haider-Maurer A.,79,65,621,741,3.0,1.36,6-7 6-4 6-4
Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Coric B.,Wawrinka S.,Wawrinka S.,95,4,557,5120,3.0,1.36,1-6 4-6
Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Garcia-Lopez G.,Ito T.,Garcia-Lopez G.,36,87,1020,576,1.44,2.62,6-7 6-2 6-0
Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Carreno-Busta P.,Lu Y.H.,Lu Y.H.,49,38,841,993,2.62,1.44,4-6 4-6
Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Bautista R.,Gojowczyk P.,Bautista R.,15,102,2110,539,1.33,3.25,6-3 6-2
Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Lopez F.,Bedene A.,Bedene A.,14,156,2130,325,1.4,2.75,4-6 4-6
Chennai Open,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Bedene A.,Garcia-Lopez G.,Bedene A.,156,36,325,1020,1.8,1.9,2-6 6-3 6-2
Chennai Open,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Lu Y.H.,Bautista R.,Bautista R.,38,15,993,2110,3.5,1.28,6-7 4-6
Chennai Open,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Goffin D.,Haider-Maurer A.,Goffin D.,22,79,1599,621,1.1,7.0,7-5 6-2
Chennai Open,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Muller G.,Wawrinka S.,Wawrinka S.,46,4,855,5120,5.5,1.14,2-6 6-7
Chennai Open,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3,Bedene A.,Bautista R.,Bedene A.,156,15,325,2110,4.33,1.22,3-6 6-3 7-6
Chennai Open,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3,Goffin D.,Wawrinka S.,Wawrinka S.,22,4,1599,5120,2.75,1.44,5-7 3-6
Chennai Open,2015-01-11,ATP250,Outdoor,Hard,The Final,3,Wawrinka S.,Bedene A.,Wawrinka S.,4,156,5120,325,1.08,8.0,6-3 6-4
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Becker B.,Bolelli S.,Bolelli S.,40,52,973,810,1.61,2.2,3-6 6-7
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Dodig I.,Safwat M.,Dodig I.,89,289,575,168,1.16,5.0,6-3 6-1
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Andujar P.,Gasquet R.,Gasquet R.,41,26,950,1350,4.33,1.2,3-6 5-7
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Lorenzi P.,Brown D.,98,63,549,759,1.53,2.37,7-6 6-3
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Gabashvili T.,Verdasco F.,Verdasco F.,66,33,730,1135,2.75,1.4,6-4 3-6 6-7
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Rosol L.,Karlovic I.,27,30,1320,1210,1.44,2.62,7-6 6-3
Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Berdych T.,Berdych T.,48,7,850,4600,4.33,1.2,1-6 4-6
Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Seppi A.,Mayer L.,Seppi A.,45,28,870,1299,1.83,1.83,5-7 7-6 7-6
Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Monaco J.,Kavcic B.,Kavcic B.,61,99,770,545,2.0,1.72,6-7 4-6
Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,Youzhny M.,Basilashvili N.,171,47,293,850,3.5,1.28,7-5 6-2
Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Djokovic N.,Djokovic N.,68,1,711,11360,15.0,1.03,2-6 1-6
Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Kohlschreiber P.,Struff J.L.,58,24,781,1415,3.25,1.33,7-6 4-6 6-1
Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Berrer M.,Berrer M.,3,127,6585,427,1.06,10.0,6-1 3-6 4-6
Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Souza J.,Jaziri M.,Souza J.,117,74,468,676,2.25,1.57,3-6 6-4 6-3
Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,De Bakker T.,Ferrer D.,Ferrer D.,141,10,375,4045,6.5,1.11,7-6 4-6 3-6
Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Karlovic I.,Basilashvili N.,Karlovic I.,27,171,1320,293,1.28,3.5,7-6 6-3
Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Struff J.L.,Brown D.,Brown D.,58,98,781,549,1.53,2.37,6-7 4-6
Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Seppi A.,Souza J.,Seppi A.,45,117,870,468,1.22,4.0,7-5 6-2
Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Verdasco F.,Ferrer D.,Ferrer D.,33,10,1135,4045,3.75,1.25,3-6 2-6
Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Stakhovsky S.,Djokovic N.,1,57,11360,781,1.02,17.0,6-2 6-1
Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Berrer M.,Dodig I.,Dodig I.,127,89,427,575,3.0,1.36,6-7 2-6
Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Berdych T.,Kavcic B.,Berdych T.,7,99,4600,545,1.11,6.5,6-1 6-2
Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Bolelli S.,Gasquet R.,Gasquet R.,52,26,810,1350,3.75,1.25,3-6 2-6
Qatar Exxon Mobil Open,2015-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Ferrer D.,Brown D.,Ferrer D.,10,98,4045,549,1.1,7.0,6-2 6-2
Qatar Exxon Mobil Open,2015-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Karlovic I.,Karlovic I.,1,27,11360,1320,1.05,11.0,7-6 6-7 4-6
Qatar Exxon Mobil Open,2015-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Gasquet R.,Berdych T.,7,26,4600,1350,1.4,2.75,6-2 6-1
Qatar Exxon Mobil Open,2015-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Dodig I.,Seppi A.,Seppi A.,89,45,575,870,1.83,1.83,5-7 4-6
Qatar Exxon Mobil Open,2015-01-09,ATP250,Outdoor,Hard,Semifinals,3,Ferrer D.,Karlovic I.,Ferrer D.,10,27,4045,1320,1.36,3.0,6-7 7-6 7-6
Qatar Exxon Mobil Open,2015-01-09,ATP250,Outdoor,Hard,Semifinals,3,Seppi A.,Berdych T.,Berdych T.,45,7,870,4600,8.0,1.08,2-6 3-6
Qatar Exxon Mobil Open,2015-01-10,ATP250,Outdoor,Hard,The Final,3,Ferrer D.,Berdych T.,Ferrer D.,10,7,4045,4600,2.75,1.44,6-4 7-5
Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3,Delbonis F.,Mannarino A.,Mannarino A.,59,44,775,898,3.75,1.25,1-6 1-6
Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Thiem D.,Struff J.L.,58,39,781,977,2.2,1.61,6-7 6-4 6-3
Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3,Sousa J.,Johnson S.,Johnson S.,51,37,822,999,3.25,1.33,5-7 4-6
Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3,De Schepper K.,Giraldo S.,De Schepper K.,100,32,540,1175,2.62,1.44,6-2 6-3
Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3,Statham J.,Falla A.,Falla A.,577,113,53,496,3.5,1.28,4-6 4-6
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Carreno-Busta P.,Coric B.,Carreno-Busta P.,49,95,841,557,3.0,1.36,6-4 6-3
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Bellucci T.,Vesely J.,Vesely J.,64,65,753,741,2.2,1.61,3-6 6-7
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Young D.,Soeda G.,Young D.,54,92,796,559,1.44,2.62,6-7 6-1 6-3
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Schwartzman D.,Schwartzman D.,36,60,1020,775,1.22,4.0,2-6 6-4 1-6
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Ramos-Vinolas A.,Lorenzi P.,Ramos-Vinolas A.,62,63,761,759,2.1,1.66,6-4 6-3
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Gonzalez A.,Venus M.,Venus M.,109,405,507,101,1.33,3.25,7-5 3-6 6-7
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Monaco J.,Lu Y.H.,38,61,993,770,1.9,1.8,6-4 2-6 6-1
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,2nd Round,3,Carreno-Busta P.,Johnson S.,Johnson S.,49,37,841,999,2.62,1.44,7-6 4-6 1-6
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,2nd Round,3,Falla A.,De Schepper K.,Falla A.,113,100,496,540,2.1,1.66,6-2 6-4
Heineken Open,2015-01-13,ATP250,Outdoor,Hard,2nd Round,3,Struff J.L.,Anderson K.,Anderson K.,58,16,781,2080,2.75,1.4,6-7 1-6
Heineken Open,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Young D.,Schwartzman D.,Young D.,54,60,796,775,1.33,3.25,2-6 6-4 6-1
Heineken Open,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Venus M.,Pouille L.,Pouille L.,405,133,101,391,3.4,1.3,5-7 4-6
Heineken Open,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Ramos-Vinolas A.,Lu Y.H.,Ramos-Vinolas A.,62,38,761,993,2.75,1.4,6-2 6-4
Heineken Open,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Gulbis E.,Vesely J.,Vesely J.,13,65,2455,741,1.57,2.25,2-6 6-3 1-6
Heineken Open,2015-01-14,ATP250,Outdoor,Hard,Quarterfinals,3,Mannarino A.,Falla A.,Mannarino A.,44,113,898,496,1.25,3.75,6-3 6-1
Heineken Open,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Ramos-Vinolas A.,Pouille L.,Pouille L.,62,133,761,391,1.66,2.1,3-6 2-6
Heineken Open,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Vesely J.,Young D.,Vesely J.,65,54,741,796,1.61,2.2,6-2 6-3
Heineken Open,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Johnson S.,Anderson K.,Anderson K.,37,16,999,2080,2.37,1.53,4-6 6-7
Heineken Open,2015-01-16,ATP250,Outdoor,Hard,Semifinals,3,Mannarino A.,Pouille L.,Mannarino A.,44,133,898,391,1.3,3.5,6-4 3-6 7-5
Heineken Open,2015-01-16,ATP250,Outdoor,Hard,Semifinals,3,Anderson K.,Vesely J.,Vesely J.,16,65,2080,741,1.57,2.37,4-6 6-7
Heineken Open,2015-01-17,ATP250,Outdoor,Hard,The Final,3,Vesely J.,Mannarino A.,Vesely J.,65,44,741,898,1.8,2.0,6-3 6-2
Apia International,2015-01-12,ATP250,Outdoor,Hard,1st Round,3,Almagro N.,Cuevas P.,Cuevas P.,70,29,700,1222,1.72,2.0,6-7 4-6
Apia International,2015-01-12,ATP250,Outdoor,Hard,1st Round,3,Mayer L.,Becker B.,Mayer L.,28,40,1299,973,1.53,2.37,7-6 6-2
Apia International,2015-01-12,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Bolelli S.,Bolelli S.,77,52,657,810,1.44,2.62,3-6 2-6
Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Del Potro J.M.,Stakhovsky S.,Del Potro J.M.,135,57,385,781,1.83,1.83,6-3 7-6
Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Andujar P.,Andujar P.,73,41,689,950,1.4,2.75,2-6 2-6
Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Sijsling I.,Tomic B.,53,81,797,619,1.28,3.5,6-1 6-2
Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Kukushkin M.,Kukushkin M.,48,69,850,705,2.2,1.61,3-6 6-7
Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Pospisil V.,Seppi A.,Pospisil V.,56,45,785,870,1.53,2.37,6-3 7-6
Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Chardy J.,Chardy J.,35,31,1090,1195,2.0,1.72,4-6 4-6
Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Klizan M.,Troicki V.,94,34,558,1094,1.72,2.0,6-2 6-3
Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Muller G.,Muller G.,85,46,586,855,1.66,2.1,6-3 3-6 6-7
Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3,Janowicz J.,Kyrgios N.,Janowicz J.,43,50,915,830,2.37,1.53,6-1 6-7 7-6
Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Fognini F.,Del Potro J.M.,Del Potro J.M.,19,135,1790,385,3.25,1.33,6-4 2-6 2-6
Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Bolelli S.,Goffin D.,Bolelli S.,52,22,810,1599,3.5,1.28,6-3 6-3
Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Cuevas P.,Kukushkin M.,Kukushkin M.,29,69,1222,705,2.37,1.53,5-7 5-7
Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Benneteau J.,Pospisil V.,Benneteau J.,25,56,1365,785,2.5,1.5,7-6 6-3
Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Janowicz J.,Mayer L.,Mayer L.,43,28,915,1299,2.1,1.66,6-4 1-6 6-7
Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Troicki V.,Andujar P.,Troicki V.,94,41,558,950,1.4,2.75,4-6 6-3 6-3
Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Muller G.,Muller G.,31,46,1195,855,1.4,2.75,6-2 6-7 4-6
Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3,Tomic B.,Kohlschreiber P.,Tomic B.,53,24,797,1415,1.53,2.37,6-3 6-4
Apia International,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Del Potro J.M.,Kukushkin M.,Kukushkin M.,135,69,385,705,1.44,2.62,6-7 6-7
Apia International,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Mayer L.,Benneteau J.,Mayer L.,28,25,1299,1365,2.0,1.72,6-3 7-6
Apia International,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Bolelli S.,Troicki V.,Troicki V.,52,94,810,558,1.9,1.8,3-6 6-3 5-7
Apia International,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Muller G.,Tomic B.,Muller G.,46,53,855,797,3.4,1.3,7-6 7-6
Apia International,2015-01-16,ATP250,Outdoor,Hard,Semifinals,3,Mayer L.,Kukushkin M.,Kukushkin M.,28,69,1299,705,1.8,2.0,4-6 4-6
Apia International,2015-01-16,ATP250,Outdoor,Hard,Semifinals,3,Troicki V.,Muller G.,Troicki V.,94,46,558,855,1.8,2.0,6-2 6-4
Apia International,2015-01-17,ATP250,Outdoor,Hard,The Final,3,Kukushkin M.,Troicki V.,Troicki V.,69,94,705,558,1.9,1.9,2-6 3-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Berankis R.,Sijsling I.,Berankis R.,85,84,615,619,1.4,2.75,2-6 6-4 7-6 6-7 6-4
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Brown D.,Dimitrov G.,Dimitrov G.,90,11,584,3645,8.0,1.08,2-6 3-6 2-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Schwartzman D.,Anderson K.,15,59,2125,789,1.1,7.0,7-6 7-5 5-7 6-4
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Coric B.,Chardy J.,Chardy J.,91,31,577,1195,3.0,1.36,6-3 4-6 5-7 4-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Lacko L.,Gonzalez M.,Lacko L.,99,98,553,554,1.33,3.25,4-6 6-2 7-5 6-7 6-1
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Kudryavtsev A.,Matosevic M.,Matosevic M.,127,81,439,628,3.0,1.36,4-6 7-6 6-4 5-7 3-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Istomin D.,Seppi A.,46,50,915,850,1.53,2.37,5-7 6-3 2-6 6-1 6-4
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Sousa J.,Sousa J.,274,55,182,822,2.25,1.57,4-6 6-7 4-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Klizan M.,Ito T.,Klizan M.,34,89,1133,588,1.33,3.25,7-6 6-2 6-4
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Berlocq C.,Gasquet R.,Gasquet R.,70,28,700,1350,8.0,1.08,1-6 3-6 1-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Bhambri Y.,Murray A.,6,317,4675,151,1.01,23.0,6-3 6-4 7-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Russell M.,Goffin D.,Goffin D.,156,22,325,1669,6.0,1.12,3-6 3-6 7-5 0-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Duckworth J.,Kavcic B.,Duckworth J.,120,102,468,545,2.37,1.53,6-2 5-7 7-6 3-6 6-2
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Gabashvili T.,Baghdatis M.,Baghdatis M.,67,78,730,658,2.5,1.5,2-6 7-6 6-3 4-6 4-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Falla A.,Berdych T.,7,101,4660,547,1.02,17.0,6-3 7-6 6-3
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Nadal R.,Nadal R.,49,3,850,6585,5.5,1.14,3-6 2-6 2-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Kamke T.,Tomic B.,66,95,737,560,1.1,7.0,7-5 6-7 6-3 6-2
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Saville L.,Smyczek T.,Smyczek T.,164,112,313,502,3.4,1.3,6-7 5-7 4-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Rosol L.,De Schepper K.,Rosol L.,30,94,1210,565,1.57,2.25,4-6 6-2 6-7 6-3 6-4
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Millman J.,Mayer L.,Mayer L.,151,26,348,1389,2.25,1.57,3-6 3-6 2-6
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Mathieu P.H.,Kohlschreiber P.,24,93,1415,570,1.18,4.5,6-2 6-2 6-1
Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Struff J.L.,Sela D.,Sela D.,57,106,801,520,1.4,2.75,4-6 6-4 6-3 3-6 5-7
